ID,Question,Intent
000_0018,Is there a parking lot?,Irrelevant
001_0018,Is this program easy?,Irrelevant
002_0018,Do most students pass the exams?,Irrelevant
003_0018,How many students are currently enrolled?,Irrelevant
004_0018,Are there any buses from university to Piraeus?,Irrelevant
005_0018,Can I bring my dog with me?,Irrelevant
006_0018,How is the weather today?,Irrelevant
007_0018,What's your favourite food?,Irrelevant
008_0018,Would you like to chat?,Irrelevant
009_0018,Are you sentient?,Irrelevant
010_0018,I am bored.,Irrelevant
011_0018,How can I go to the university from Athens?,Irrelevant
012_0018,Does this university have a music group?,Irrelevant
013_0018,Is there a library?,Irrelevant
014_0018,Is it raining at the moment?,Irrelevant
015_0018,Which minor is the most preferred?,Irrelevant
016_0018,Will I find a job easily after graduating from this program?,Irrelevant
017_0018,How many hours should I study each week to succeed in the exams?,Irrelevant
018_0018,Which course is the most difficult of all?,Irrelevant
019_0018,Can I contact a student of this program to ask some questions?,Irrelevant
020_0018,Is it good to have a minor?,Irrelevant
021_0018,Is it better to choose courses from both minors?,Irrelevant
022_0018,Is it a good idea to rent a house in Egaleo?,Irrelevant
023_0018,Can I bring my laptop with me?,Irrelevant
024_0018,Should I be familiar with linux for this program?,Irrelevant
025_0018,Is artificial intelligence the future?,Irrelevant
026_0018,Is numpy a python library?,Irrelevant
027_0018,What should I cook for dinner?,Irrelevant
028_0018,Which is the best movie of all times?,Irrelevant
029_0018,Which is the most selected course among the elective courses?,Irrelevant
030_0018,Can you help me with something?,Irrelevant
031_0018,Can I ask you a question?,Irrelevant
032_0018,Is it easy to pass the exams?,Irrelevant
033_0018,How many hours of daily study is required for this MSc?,Irrelevant
034_0018,Do companies in Greece use artificial intelligence?,Irrelevant
035_0018,How old are you?,Irrelevant
036_0018,Are you a dog or a cat person?,Irrelevant
037_0018,Which is the average age of this MSc's students?,Irrelevant
038_0018,Where can I find the latest advances in the field of AI?,Irrelevant
039_0018,Which is the best scientific magazine for AI?,Irrelevant
040_0018,Are applications open?,Applications
041_0018,When is the deadline of the applications?,Applications
042_0018,Where can I find the application form?,Applications
043_0018,Where should I submit my application?,Applications
044_0018,How many recommendation letters do I need to have in order to apply?,Applications
045_0018,Is a CV needed for the application?,Applications
046_0018,What kind of documents are needed to apply to this Program?,Applications
047_0018,How many words must the 'expression of interest' text be?,Applications
048_0018,How are candidates selected?,Applications
049_0018,Will there be an interview for the selection process?,Applications
050_0018,Can you give me information about the selection process?,Applications
